iter	RMSE
0	31.3055937
1	30.64297412
2	30.02508459
3	29.49499732
4	28.89077763
5	28.4113627
6	27.97405504
7	27.42878236
8	26.95829998
9	26.43088582
10	25.97655745
11	25.47975536
12	25.05848486
13	24.6464927
14	24.22540497
15	23.81472691
16	23.49343457
17	23.05349804
18	22.63912181
19	22.3096804
20	21.94458948
21	21.52393811
22	21.17585957
23	20.91162877
24	20.59952967
25	20.27115368
26	20.05386494
27	19.85074969
28	19.57330051
29	19.30149442
30	19.00582705
31	18.68515502
32	18.50024455
33	18.2489197
34	17.98730611
35	17.72890939
36	17.5128255
37	17.24349584
38	16.97068445
39	16.67731179
40	16.45458063
41	16.21815182
42	15.98563936
43	15.81034124
44	15.6157162
45	15.51910972
46	15.28144459
47	15.01777031
48	14.8014667
49	14.58291461
50	14.34241887
51	14.12023052
52	13.98696282
53	13.79577504
54	13.6277374
55	13.49412959
56	13.28018424
57	13.16076228
58	13.01654595959	12.897021560	12.25475303
61	12.14461782
62	11.96727447
63	11.83046619
64	11.64027322
65	11.51897713
66	66	11.28114767	11.20584485
68	11.10463673
69	10.98992163
70	10.85309178
71	10.67819897
72	10.57593513
73	10.48489697
74	10.35000498
75	10.23615167
76	10.06591101
77	9.929903468
78	9.824194617
79	9.728745841
80	9.632663991
81	9.403750279
82	9.269869399
83	9.389045429
84	9.30876395
85	9.173904974
86	9.092063594
87	8.988007843
88	8.841364117
89	8.742193611
90	8.608148858
91	8.507792391
92	8.420411749
93	8.302689988
94	8.229476614
95	8.142587034
96	8.023443581
97	7.926105639
98	7.834339622
99	7.719844869
100	7.625610619
101	7.543233013
102	7.459695749
103	7.380576175
104	7.334680765
105	7.247284151
106	7.181887382
107	7.100912952
108	7.030847278
109	6.975229614
110	6.935855086
111	6.881391784
112	6.839210586
113	6.778438902
114	6.689160203
115	6.62798423
116	6.555651607
117	6.492047065
118	6.413782032
119	6.35291839
120	6.316436121
121	6.268470031
122	6.205058586
123	6.17567806
124	6.091919428
125	6.044216222
126	6.005230733
127	5.95780969
128	5.920391301
129	5.880267538
130	5.85786492
131	5.808386005
132	5.74149049
133	5.692726428
134	5.641754489
135	5.606654876
136	5.548480555
137	5.505379533
138	5.448671198
139	5.419373551
140	5.386759154
141	5.351654152
142	5.315528509
143	5.278118149
144	5.247158827
145	5.213873763
146	5.188086909
147	5.155650023
148	5.112126596
149	5.073616388
150	5.110474505
151	5.063082599
152	5.042192727
153	5.0206642581154	4.9684084821155	4.9377799561156	4.8944222291157	4.8449026231158	4.8018519771159	4.7729065891160	4.7399878451161	4.7084147611162	4.6738720411163	4.6288667971164	4.5979161921165	4.5824049
166	4.567872594
167	4.538641509
168	4.519879583
169	4.495285821
170	4.4573322271171	4.437473589
172	4.42030396
173	4.388849685
174	4.366681261
175	4.329486878
176	4.288637524
177	4.269015697
178	4.236601496
179	4.225498679
180	4.201252004
181	4.186964728
182	4.173172249
183	4.158600292
184	4.146429633
185	4.119460206
186	4.096228856
187	4.07422983
188	4.04752114
189	4.037480291
190	4.024045348
191	4.005239562
192	3.997732049
