iter	Passed	Remaining
0	153	306528
1	160	160509
2	169	112635
3	176	88038
4	184	73628
5	190	63468
6	197	56267
7	204	50998
8	214	47493
9	224	44705
10	236	42774
11	249	41277
12	261	39902
13	270	38341
14	278	36907
15	287	35671
16	297	34674
17	308	33937
18	319	33357
19	328	32504
20	348	32882
21	365	32870
22	380	32695
23	397	32727
24	431	34121
25	446	33906
26	470	34345
27	491	34586
28	505	34388
29	521	34230
30	550	34977
31	580	35684
32	583	34755
33	611	35333
34	630	35401
35	646	35280
36	665	35308
37	678	35054
38	696	35028
39	726	35593
40	749	35800
41	765	35665
42	785	35755
43	800	35589
44	812	35307
45	824	35032
46	839	34887
47	850	34595
48	866	34501
49	880	34322
50	890	34048
51	909	34085
52	920	33805
53	933	33635
54	946	33466
55	957	33255
56	968	33013
57	970	32489
58	977	32155559	989	3199460	1001	31840
61	1014	31720
62	1029	31649
63	1044	31596
64	1058	31523
65	1065	3120866	1095	31603
667	1115	31679668	1124	31469669	1141	31461770	1163	31615771	1192	31932
72	1211	31987773	1231	32054774	1260	32360
75	1279	32379
76	1292	32279777	1314	32399
78	1333	32429779	1349	32398880	1368	3242281	1413	33052
82	1439	33244
883	1465	33416
84	1492	33624
85	1521	33865
86	1552	34129
87	1569	34097
88	1603	34424
89	1628	34557
90	1655	34737
91	1693	35119
92	1715	35187
93	1730	35086
94	1758	35270
95	1796	35638
96	1810	35518
97	1820	35341
98	1839	35330
99	1854	35232
100	1861	35003
101	1872	34850
102	1887	34761
103	1901	34663
104	1912	34519
105	1923	34375
106	1935	34244
107	1944	34068
108	1958	33974
109	1970	33862
110	1980	33710
111	1991	33570
112	2002	33441
113	2015	33345
114	2028	33255
115	2032	33017
116	2046	32929
117	2062	32901
118	2073	32775
119	2085	32674
120	2096	32557
121	2107	32445
122	2118	32327
123	2129	32221
124	2142	32131
125	2155	32052
126	2167	31971
127	2180	31888
128	2193	31807
129	2195	31576
130	2205	31471
131	2221	31433
132	2237	31410
133	2253	31377
134	2266	31307
135	2277	31216
136	2290	31153
137	2303	31074
138	2316	31018
139	2327	30924
140	2339	30839
141	2349	30743
